ID,ユーザーID,ペットの種類,名前,性別,アイコン画像,生年月日,ノート,削除フラグ,登録日時,修正日時
id,user_id,type,name,gender,icon,birthday,note,deleted,created_ts,modified_ts
1,1,トイプードル,ショコラン,1,,2015-02-20,元気なイヌ,0,2016-01-08 12:24:12,2016-01-08 12:24:12
2,2,チワワ,ジョン,1,,2015-02-20,笑顔が素敵,0,2016-01-08 12:24:12,2016-01-08 12:24:12
3,3,ロングコートチワワ,シロ,2,,2015-02-20,走るのがとても速い,0,2016-01-08 12:24:12,2016-01-08 12:24:12
4,4,柴犬,ジンベイ,1,,2015-02-20,寝てる時間が多いです,0,2016-01-08 12:24:12,2016-01-08 12:24:12
5,5,タイニープードル,スカイ,1,,2015-02-20,おねだりが上手です,0,2016-01-08 12:24:12,2016-01-08 12:24:12
6,6,ティーカッププードル,スキッパー,2,,2015-02-20,あまりほえません,0,2016-01-08 12:24:12,2016-01-08 12:24:12
7,7,ポメラニアン,スキップ,2,,2015-02-20,すぐ仲良くなれます,0,2016-01-08 12:24:12,2016-01-08 12:24:12
8,8,ミニチュアダックス,セナ,1,,2015-02-20,最近はおとなしくなりました,0,2016-01-08 12:24:12,2016-01-08 12:24:12
9,9,シーズー,マル,1,,2015-02-20,寂しがりです,0,2016-01-08 12:24:12,2016-01-08 12:24:12
10,10,ミニチュアシュナウザー,マロン,1,,2015-02-20,おてが得意です,0,2016-01-08 12:24:12,2016-01-08 12:24:12
11,11,ヨークシャンデリア,ダニエル,1,,2015-02-20,まるまるしてます,1,2016-01-08 12:24:12,2016-01-08 12:24:12
